ID,BIDS,group,orderNumber,block,acq,startBlock,endBlock,timingCorrection,jitterVideo_trial,jitterRating_trial,stimID,vidFileName,trial,tTrialStart,tTrialEnd,durationTrial,fixationInitialDuration,displayVidOnset,displayVidOffset,displayVidDuration,displayBlankDuration,fixationPostVidOnset,fixationPostVidDuration,displayAnswerOnset,displayAnswerDuration,timeoutAnswer,responseAnswer,timestampAnswer,timestampAnswerWhite,rtAnswer,answer_tooSlow,fixationPostAnswerOnset,fixationPostAnswerDuration,betweenRatingFixation,displayCuriosityOnset,displayCuriosityDuration,timeoutCuriosity,responseCuriosity,rC_mean,rC_mean-centered,timestampCuriosity,timestampCuriosityWhite,rtCuriosity,startValueCuriosity,clicksCuriosity,fixationPostCuriosityOnset,fixationPostCuriosityDuration,curiosity_tooSlow,mockOffset,cueImage,momentOfSurprise_1,momentOfSurprise_2,momentOfSurprise_3,momentOfSurprise_4,momentOfSurprise_5,momentOfSurprise_6,momentOfSurprise_7,additionalMarker_momentOfSurprise_1,additionalMarker_momentOfSurprise_2,trialRecall,responseRecall,cuedRecallStrict,cuedRecallLenient,Flagging,Comments,trialRecognition,responseRecognition,rtRecognition,responseConfidence,rtConfidence,recognition,recognitionConfLevel_4_5_6,rememberedStrictHigh,rememberedLenientHigh
1,sub-control001,cont,1,1,1,0,NA,0.008331790017,4,10,Trick20_short,20_Trick20_short_combined_small.mp4,11,652.0025676,713.9896494,61.98708177,NA,653.99105,686.1588754,32.16782542,1.834545891,687.9934213,3.996010101,691.9894314,5.998054874,6,31 or more,692.6143416,692.6332263,0.624910149,0,697.9874863,0.050212399,0.05,698.0376987,5.952246075,5.95,5,,0.25,700.7941445,700.839193,2.756445831,4,1,703.9899448,9.999704595,0,660.0265599,666.1757751,684.0257811,NA,NA,NA,NA,NA,NA,NA,NA,30,he ties a knot  and using the bolt releases it quickly,0,0,NA,,23,"The magician ties rope around the nut, but is not able to remove it afterwards as it seems that the nut has shrunk.",227986,4,4113,0,0,0,0
1,sub-control001,cont,1,1,1,0,789.9873837,0.008331790017,4,4,Trick37,17_Trick37_combined_small.mp4,12,714.0028158,789.9871653,75.98434957,NA,715.984388,768.3238995,52.33951156,1.66548781,769.9893873,3.999522428,773.9889098,6.00023477,6,31 or more,774.5582857,774.5713447,0.569375984,0,779.9891445,0.05024949599,0.05,780.039394,5.946192107,5.95,3,,-1.75,783.1934198,783.2313689,3.15402581,7,6,785.9855861,4.001579201,0,722.0240911,727.1748618,740.2206714,763.1368445,NA,NA,NA,NA,NA,NA,NA,14,green band was inserted inside the white band in hanging fashion,0,0,1,Wrong moment of surprise + easy cue,24,The magician has two elastic bands and tangles them up. They then become untwisted.,234186,5,3920,0,0,0,0
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,6,4,H7,06_H7_combined_small.mp4,13,0.0005082230055,64.00210049,64.00159226,NA,2.0001537,41.88807485,39.88792115,0.107243539,41.99531839,6.005248282,48.00056667,6.000748014,6,0 to 10,49.12592204,49.18366898,1.125355363,0,54.00131469,0.049990574,0.05,54.05130526,5.951364389,5.95,6,,1.25,56.04292571,56.13460692,1.991620449,4,2,60.00266965,3.999430836,0,8.0374722,9.120927216,17.22983918,24.2349352,27.12041898,33.23750906,37.27109785,NA,NA,NA,NA,34,no recall,0,0,NA,,28,The magician wraps the salt shaker in the cloth and makes it disappear.,258867,2,3561,0,0,0,0
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,Trick6_short,13_Trick6_short_combined_small.mp4,14,64.01921264,130.0006874,65.98147476,NA,65.99604368,109.6746023,43.67855866,0.320123715,109.9947261,4.002917108,113.9976432,6.003060349,6,21 to 30,114.6895926,114.733906,0.691949457,0,120.0007035,0.04931830399,0.05,120.0500218,5.951457508,5.95,6,,1.25,122.3986192,122.4841015,2.348597337,5,1,126.0014793,3.999208074,0,72.03662463,74.18682364,87.14600173,98.18645568,105.1091624,NA,NA,NA,NA,NA,NA,21,he took more number of red balls from inside by inserting one initially into the cup,0,0,NA,,30,"The magician puts a ball under the cup, which then turns into a larger ball and then becomes an egg.",251965,5,4627,1,1,1,1
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,10,4,Trick7_short,36_Trick7_short_combined_small.mp4,15,130.0175185,185.9998269,55.98230841,NA,131.9945695,158.6487095,26.65413999,1.348974897,159.9976844,10.00246991,170.0001543,6.000265455,6,11 to 20,170.6990791,170.7329662,0.698924805,0,176.0004198,0.049609108,0.05,176.0500289,5.946122452,5.95,6,,1.25,178.1162753,178.1604777,2.066246361,2,4,181.9961514,4.003675585,0,138.0001582,141.0360521,154.0694903,156.1854437,157.1143195,NA,NA,NA,NA,NA,NA,10,it was one small ball initially and turned to two and bigger in sizw by magician,1,1,1,Add incorrect information,36,"The magician gets the volunteer to hold a foam ball, which he then transforms into  two balls.",245595,1,3396,1,0,1,1
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,H10,02_H10_combined_small.mp4,16,186.0140939,245.9995141,59.98542023,NA,187.9995367,224.881921,36.88238428,1.114075328,225.9959963,4.002252908,229.9982492,6.000939255,6,11 to 20,232.3275142,232.3487081,2.329265028,0,235.9991885,0.049612523,0.05,236.048801,5.950752796,5.95,6,,1.25,238.8070653,238.8489569,2.758264269,7,1,241.9995538,3.999960328,0,194.0350575,195.1854421,206.2328272,213.1850001,NA,NA,NA,NA,NA,NA,NA,13,4 pieces of cards were joined together by getting them all closer and it was formed into new card with without any crack on it ,1,1,NA,,6,The magician magically repairs split card.,276908,6,3813,1,1,1,1
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,H19,16_H19_combined_small.mp4,17,246.0139952,297.9965249,51.98252966,NA,247.9937899,276.6503644,28.65657446,1.349336581,277.9997009,3.998856845,281.9985578,6.000359528,6,0 to 10,283.2971281,283.314529,1.298570272,0,287.9989173,0.04940491001,0.05,288.0483222,5.946386334,5.95,6,,1.25,290.7074498,290.7412678,2.659127527,5,1,293.9947086,4.0018163,0,254.0339302,257.2350464,269.2282572,NA,NA,NA,NA,NA,NA,NA,NA,24,He took the match sticks and by tricks was able to make them stand on air on its own,0,0,NA,,2,"The magician places paper in volunteer's hand and sets it alight, revealing a red sponge ball.",329489,1,6843,1,0,0,0
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,S30,26_S30_combined_small.mp4,18,298.0116606,351.9982887,53.9866281,NA,299.9983914,331.1980034,31.19961193,0.800818374,331.9988217,4.000342568,335.9991643,5.996354734,6,31 or more,336.7359563,336.7577777,0.736792005,0,341.995519,0.048967107,0.05,342.0444862,5.953223418,5.95,7,,2.25,343.7318534,343.7793362,1.687367273,6,1,347.9977096,4.000579149,0,306.0229654,323.0335678,327.1013324,NA,NA,NA,NA,NA,NA,NA,NA,7,Although it looked like there was no attachment between the two stick magician was able to pull the thread from other stick to decrease the length from the longer stick without even touching the longer stick thread,1,1,NA,,20,The magician pulls string through two sticks which appear to be connected. However he then reveals thw two sticks are not connected at all.,246356,6,5011,1,1,1,1
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,8,4,S21,33_S21_combined_small.mp4,19,352.0123573,405.9975157,53.98515843,NA,353.9974504,381.8495899,27.85213948,0.141417899,381.9910078,8.00499113,389.9959989,6.00176662,6,11 to 20,391.1547379,391.1967251,1.158739048,0,395.9977655,0.048848957,0.05,396.0466145,5.9509165,5.95,2,,-2.75,399.186741,399.2635612,3.140126558,6,4,401.997531,3.999984732,0,360.0270359,361.1946705,367.198702,370.1161083,378.0657629,NA,NA,NA,NA,NA,NA,36,the spoon was bend accordingly as and when the magician moved his right hand up and down,1,1,NA,,25,The magician bents the spoon only sing his pinkie as a force.,244990,5,3432,0,0,1,1
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,H17,19_H17_combined_small.mp4,20,406.0120188,481.995341,75.98332225,NA,407.9926386,460.6452791,52.65264055,1.351735812,461.997015,3.999794052,465.996809,5.99999956,6,11 to 20,467.7490678,467.7956853,1.752258838,0,471.9968086,0.048666045,0.05,472.0454746,5.94800569,5.95,6,,1.25,474.8657096,474.9456492,2.820235038,2,4,477.9934803,4.001860718,0,414.0325456,414.2654774,449.1811163,451.2255509,NA,NA,NA,NA,NA,NA,NA,6,no recall,0,0,NA,,11,"The magician places the bread sticks in the bag, when the volunteer looks into the bag the bread sticks have transformed into a bun.",266468,2,3992,0,0,0,0
